Enemy A                      雑魚A            x42  0xB0E 0x43F5 0x4485 0xE9B2 0xE9EE 0x11BEE 0x243CC 0x2B711 0x32A95 0x3C3D6 0x447FB 0x454A7 0x5348E 0x5455D 0x55ED2 0x5C63C 0x60648 0x664AD 0x66822 0x6856E 0x6B8DA 0x6E39E 0x7C533 0x8ACF0 0x8C2E0 0x902AA 0x96C9D 0x9F258 0xA14A1 0xA30B4 0xAAD98 0xAC3A6 0xAD80E 0xB01D2 0xB28A0 0xB4473 0xC1FC3 0xC4EF0 0xCB4B9 0xD4531 0xE1F5E 0xE32A7
Takeda Soldier               武田兵士           x37  0x10A6 0x645D 0x659C 0xABB5 0x14916 0x157E8 0x15F4F 0x25080 0x2ADEE 0x4027F 0x45389 0x46086 0x4CD69 0x4E9BB 0x538F8 0x5A605 0x5DEAF 0x67405 0x68DB9 0x68E9D 0x6EA62 0x78067 0x81C1A 0x83666 0x93457 0x94B8D 0xB1078 0xB2C5F 0xC1AB4 0xCB4AC 0xD5745 0xE566E 0xE69D7 0xE9919 0xECE6E 0xEF0A6 0xF1629
Rebel Ronin                  反乱軍浪士          x32  0x6354 0x9A4B 0xBBA9 0x13234 0x17C40 0x1E160 0x2298C 0x33200 0x4CEE0 0x4D32A 0x4F957 0x562F0 0x59ABC 0x5F336 0x62DB2 0x64CE7 0x67DD2 0x89477 0x89E82 0x8CB62 0x8F61C 0x97017 0xA2213 0xAA721 0xAC4C4 0xB2BEA 0xBFCD8 0xC2B8E 0xCC558 0xD2EDC 0xDEB5D 0xEEC01
Onmyo Mage                   陰陽師            x30  0xC7F 0xEAEC 0x2BF39 0x2CB8A 0x2DF11 0x2EFD5 0x301F3 0x37137 0x3BA6D 0x44A5E 0x5CB58 0x61495 0x6343B 0x65C72 0x73C48 0x74AF0 0x7B808 0x7E550 0x8C207 0x99051 0xA2ADA 0xA793F 0xB52BF 0xCBE74 0xD09E6 0xD1C92 0xD733D 0xDBBF9 0xE4A28 0xE9039
Tokugawa Soldier             徳川兵士           x28  0x7363 0x22704 0x276B3 0x2C002 0x2FBA3 0x37C8D 0x37D5A 0x3C3A5 0x3D099 0x467AC 0x4D191 0x57887 0x7260A 0x7F98F 0x85902 0x97791 0x9BBE3 0xA06DF 0xA5F42 0xA6984 0xB133C 0xC475E 0xC8152 0xD8409 0xE5239 0xE5530 0xEDB21 0xF19A7
Kamakura Warrior             鎌倉武士           x22  0x2551 0x6C34 0x244A5 0x2BE81 0x2EE71 0x43B3D 0x4B993 0x4F412 0x6FABC 0x751E9 0x772C8 0x7D73F 0x842C3 0x8511D 0x8C268 0x9CCAF 0xA8006 0xC4D54 0xCCA01 0xCECC8 0xD4695 0xDCAC9
Shogunate Soldier            幕府兵士           x22  0xA49 0x1E927 0x2F4E8 0x3D866 0x4030D 0x42335 0x567D9 0x6673E 0x7B7FD 0x7FE51 0x84550 0x9C127 0xAF0CB 0xB17EF 0xB28B2 0xB444D 0xC784C 0xCD008 0xDEC05 0xE4C3D 0xE9105 0xE937E
Vassal                       旗本             x22  0x3A9B 0x4143 0x62BB 0x971F 0x178D1 0x26F2B 0x28658 0x29202 0x38869 0x3B29F 0x4D493 0x56DC1 0x58EF8 0x79974 0x968CC 0xA4267 0xAE324 0xB3B92 0xBA5BA 0xCBA8B 0xE2398 0xF3DCB
Rogue                        野武士            x21  0xBB7D 0xDE8C 0x1091E 0x1DF33 0x2E7A5 0x41889 0x41BA8 0x44443 0x4AC17 0x5432C 0x6D1D2 0x74C54 0x751E6 0x85AE5 0x9742B 0xA4F31 0xAC522 0xC8B29 0xC8C02 0xD7383 0xF345E
Scampuss                     すねこすり          x21  0xF389 0x1CAD4 0x2C211 0x37570 0x4A5C9 0x5CAAE 0x65F34 0x69D9E 0x70843 0x77796 0x79D35 0x7FCB2 0x83C55 0x8E4E7 0x92A81 0xA67E0 0xBA825 0xBFF6D 0xCC577 0xD0B5F 0xE6165
Aberrant Soldier             外道兵            x18  0x87F5 0x2C560 0x2DF3B 0x2E19A 0x4A551 0x4A640 0x5410A 0x54F6F 0x68029 0x6AD14 0x7BD90 0xAE8E8 0xBD464 0xC05A4 0xD61F1 0xDE7CB 0xE0650 0xF3526
Jailer Oni                   獄卒鬼（焦熱）        x18  0x1361D 0x1A2E6 0x232D5 0x26C12 0x304FC 0x3CF7D 0x5D5B8 0x99943 0xA6DDA 0xB77A6 0xBC496 0xC0618 0xD0779 0xE1ABA 0xE6F42 0xE8E25 0xF2527 0xF3566
Outlaw                       賊              x16  0x15F5F 0x2A8E0 0x32352 0x33599 0x3ADE7 0x46B29 0x560BB 0x9AB7E 0xA308E 0xB319D 0xB3C30 0xBD71E 0xC1BCB 0xD4C14 0xD7FCB 0xDB7A5
Yamatai Soldier              邪馬台国兵士         x16  0x18153 0x18995 0x2B2FE 0x2C4D2 0x49FE8 0x57799 0x5D272 0x5EFD6 0x60C91 0x651FC 0x66D81 0x6A31C 0x7F4E0 0x8A965 0x96602 0xA1235
Shinsengumi Member           新選組隊士          x15  0xA4C3 0x1367D 0x17D62 0x1F5CD 0x274AF 0x2953C 0x51150 0x5B9BD 0x769D2 0x80174 0x91E01 0x987EF 0xC3309 0xF203D 0xF281F
Alchemist                    錬金術師           x12  0x1806 0xF8CD 0x31286 0x5DDE9 0x6CC44 0xAECC1 0xC2ED1 0xCA99B 0xD7523 0xDFA7D 0xE45F1 0xE9611
Skeleton Warrior             骸武者            x12  0x28204 0x3B38C 0x5040C 0x56793 0x6A2C9 0x892BB 0x8BC99 0xBCC5B 0xCB09A 0xCD93B 0xE3769 0xED6B1
Ninja                        忍者             x9   0x2EEE 0x1B6CC 0x293AD 0x376AB 0x4D880 0x8146A 0x9DD3B 0xE3778 0xE88CF
Bakegani                     化け蟹            x8   0x1AB5 0x61EB 0xCB88 0x3B1B8 0x4CF03 0x73BAB 0xA8833 0xC3FF5
Shunobon                     朱の盆            x8   0x300B8 0x53347 0x5E52D 0x60E01 0x97AD6 0xA697F 0xDF255 0xE0BB4
Biwa Boku-boku               琵琶牧々           x7   0xE5FA 0x6C4A1 0x78575 0x8DA21 0xA5493 0xCC94A 0xDCDAB
Mikoshi Nyudo                見越し入道          x6   0x3EC8A 0x594DC 0x6F167 0x91574 0x91A67 0xBADDA
Death Veil                   空亡             x5   0xB9FD 0x85134 0xAB760 0xAFF10 0xDFDEA
Minamoto no Yoshitsune       源義経            x4   0x25BEB 0x2F9FC 0x74C70 0xB0A83
Murakumo                     叢雲             x4   0x32C34 0x391C7 0x61572 0x71047
One-eyed Imp                 一つ目小僧          x4   0x1E3E 0x56628 0x573CF 0x9FA05
Oni-bi                       鬼火             x4   0x22F7C 0x8D221 0xD651D 0xE55D2
Thorned Gaki                 茨餓鬼            x4   0x144D6 0x2CD16 0x99C30 0xBF939
Yagyo Soldier                夜行兵            x4   0x2D571 0x3EFC9 0x545A1 0xACB89
Crucible Wasp                地獄蜂            x3   0x41F70 0x53CC1 0xD6D7F
Daidara Bocchi               ダイダラボッチ        x3   0x5367E 0x61863 0xEBEBE
Dweller                      敷次郎            x3   0x62699 0x82783 0xE2E6D
Gaki                         餓鬼             x3   0xF02 0x9DB37 0xF0DC3
Hiruko                       比留呼            x3   0x4ACDF 0x93F79 0xB605B
Ippon-Datara                 一本だたら          x3   0x6CD3 0x561AC 0xD1662
Kongojishi                   金剛獅子           x3   0x3F452 0xCA212 0xD4EAD
Mujina                       ムジナ            x3   0x37111 0x8D11D 0xAB90E
